Name;T-Wert;P-Wert;Alpha;Statistisch Signifikant;* Format
Liegend Schichthöhe 0.3mm;-0.398668729;0.710502669;0.05;Nein;ns
Liegend Temperatur 190°;-0.96867969;0.387558986;0.05;Nein;ns
Liegend Füllmuster Dreiecke;0.969087424;0.387378456;0.05;Nein;ns
Liegend Temperatur 240°;-1.394843445;0.235532059;0.05;Nein;ns
Liegend Füllmuster Gyroid;2.584105749;0.061062275;0.05;Nein;ns
Liegend Füllmuster Konzentrisch;4.215549527;0.013525784;0.05;Ja;*
Liegend Füllmuster Geradlinig;4.375644203;0.011915383;0.05;Ja;*
Liegend Fülldichte 50%;-5.270766744;0.006208911;0.05;Ja;**
Liegend Fülldichte 75%;-9.461581493;0.000696029;0.05;Ja;***
Liegend Schichthöhe 0.1mm;-9.76424769;0.000616343;0.05;Ja;***
Liegend Fülldichte 0%;9.787690811;0.000610655;0.05;Ja;***
Liegend Düsendurchmesser 0.2mm;10.7066187;0.000431218;0.05;Ja;***
Liegend Fülldichte 100%;-11.20989064;0.00036062;0.05;Ja;***
Liegend Füllmuster Kubisch;-12.78057723;0.000215988;0.05;Ja;***
Liegend Düsendurchmesser 0.6mm;-13.01315518;0.00020124;0.05;Ja;***
Liegend Schalendicke 1.2mm;-21.06274726;3.00E-05;0.05;Ja;***
Liegend Schalendicke 0.4mm;30.52625385;6.86E-06;0.05;Ja;***
