Name;T-Wert;P-Wert;Alpha;Statistisch Signifikant;* Format
Stehend Schalendicke 1.2mm;-0.121354984;0.898361255;0.05;Nein;ns
Stehend Schichthöhe 0.1mm;-0.303317536;0.776764694;0.05;Nein;ns
Stehend Fülldichte 50%;0.647641087;0.552512657;0.05;Nein;ns
Stehend Düsendurchmesser 0.6mm;1.699197164;0.164509646;0.05;Nein;ns
Stehend Schalendicke 0.4mm;4.050805192;0.015465449;0.05;Ja;*
Stehend Fülldichte 75%;-4.343212811;0.012222045;0.05;Ja;*
Stehend Temperatur 240°;4.731435834;0.009094447;0.05;Ja;**
Stehend Füllmuster Konzentisch;6.119983687;0.003610335;0.05;Ja;**
Stehend Füllmuster Dreiecke;6.932821919;0.002272749;0.05;Ja;**
Stehend Füllmuster Geradlinig;6.949934713;0.00225187;0.05;Ja;**
Stehend Schichthöhe 0.3mm;8.513668495;0.00104414;0.05;Ja;**
Stehend Fülldichte 100%;-8.611921265;0.00099928;0.05;Ja;***
Stehend Füllmuster Gyroid;9.580569439;0.000663258;0.05;Ja;***
Stehend Füllmuster Kubisch;10.5681318;0.000453596;0.05;Ja;***
Stehend Fülldichte 0%;13.7810935;0.000160665;0.05;Ja;***
Stehend Temperatur 190°;16.96564497;7.07739E-05;0.05;Ja;***
Stehend Düsendurchmesser 0.2mm;18.32159092;5.22055E-05;0.05;Ja;***
